No.,x (Matriks A),y (Matriks B),x-y,(x-y)²
184,0.0025,0.0033,-0.0008,0.0000
185,0.0048,0.0036,0.0012,0.0000
186,0.0034,0.0044,-0.0010,0.0000
187,0.0040,0.0017,0.0023,0.0000
188,0.0034,0.0039,-0.0005,0.0000
189,0.0042,0.0030,0.0012,0.0000
190,0.0020,0.0047,-0.0027,0.0000
191,0.0023,0.0030,-0.0008,0.0000
192,0.0045,0.0061,-0.0015,0.0000
193,0.0042,0.0044,-0.0002,0.0000
194,0.0045,0.0047,-0.0002,0.0000
195,0.0062,0.0047,0.0015,0.0000
196,0.0088,0.0058,0.0030,0.0000
197,0.0065,0.0066,-0.0001,0.0000
198,0.0062,0.0044,0.0018,0.0000
199,0.0091,0.0099,-0.0009,0.0000
200,0.0093,0.0055,0.0038,0.0000
201,0.0164,0.0138,0.0026,0.0000
202,0.0303,0.0276,0.0027,0.0000
203,0.0778,0.0402,0.0376,0.0014
204,0.1143,0.0956,0.0187,0.0003
205,0.2312,0.2483,-0.0171,0.0003
206,0.2207,0.2251,-0.0044,0.0000
207,0.1958,0.1943,0.0015,0.0000
208,0.1477,0.1276,0.0201,0.0004
209,0.1437,0.0863,0.0575,0.0033
210,0.1070,0.0592,0.0477,0.0023
211,0.1146,0.0612,0.0534,0.0029
212,0.0654,0.0535,0.0119,0.0001
213,0.0444,0.0460,-0.0016,0.0000
214,0.0490,0.0521,-0.0031,0.0000
215,0.0475,0.0333,0.0142,0.0002
216,0.0543,0.0309,0.0235,0.0006
217,0.0566,0.0402,0.0164,0.0003
218,0.0690,0.0502,0.0189,0.0004
219,0.0490,0.0463,0.0027,0.0000
220,0.0659,0.0361,0.0298,0.0009
221,0.0781,0.0394,0.0387,0.0015
222,0.0829,0.0292,0.0537,0.0029
223,0.0555,0.0364,0.0191,0.0004
224,0.0507,0.0419,0.0088,0.0001
225,0.0311,0.0212,0.0099,0.0001
226,0.0252,0.0135,0.0117,0.0001
227,0.0303,0.0074,0.0228,0.0005
228,0.0390,0.0041,0.0349,0.0012
229,0.0116,0.0008,0.0108,0.0001
230,0.0006,0.0008,-0.0003,0.0000
231,0.0000,0.0003,-0.0003,0.0000
232,0.0000,0.0000,0.0000,0.0000
233,0.0000,0.0000,0.0000,0.0000
234,0.0000,0.0000,0.0000,0.0000
235,0.0000,0.0000,0.0000,0.0000
236,0.0000,0.0000,0.0000,0.0000
237,0.0000,0.0000,0.0000,0.0000
238,0.0000,0.0000,0.0000,0.0000
239,0.0000,0.0000,0.0000,0.0000
240,0.0000,0.0000,0.0000,0.0000
241,0.0000,0.0000,0.0000,0.0000
242,0.0000,0.0000,0.0000,0.0000
243,0.0000,0.0000,0.0000,0.0000
244,0.0000,0.0000,0.0000,0.0000
245,0.0000,0.0000,0.0000,0.0000
246,0.0000,0.0000,0.0000,0.0000
247,0.0000,0.0000,0.0000,0.0000
248,0.0000,0.0000,0.0000,0.0000
249,0.0000,0.0000,0.0000,0.0000
250,0.0000,0.0000,0.0000,0.0000
251,0.0000,0.0000,0.0000,0.0000
252,0.0000,0.0000,0.0000,0.0000
253,0.0000,0.0000,0.0000,0.0000
254,0.0000,0.0000,0.0000,0.0000
255,0.0000,0.0000,0.0000,0.0000
256,0.0000,0.0000,0.0000,0.0000
Total,,,,0.0385
√Total,,,,0.1961
