No.,x (Matriks A),y (Matriks B),x-y,(x-y)²
184,0.0025,0.0031,-0.0006,0.0000
185,0.0048,0.0048,-0.0000,0.0000
186,0.0034,0.0043,-0.0009,0.0000
187,0.0040,0.0031,0.0008,0.0000
188,0.0034,0.0060,-0.0026,0.0000
189,0.0042,0.0040,0.0003,0.0000
190,0.0020,0.0043,-0.0023,0.0000
191,0.0023,0.0057,-0.0034,0.0000
192,0.0045,0.0063,-0.0017,0.0000
193,0.0042,0.0065,-0.0023,0.0000
194,0.0045,0.0051,-0.0006,0.0000
195,0.0062,0.0071,-0.0009,0.0000
196,0.0088,0.0068,0.0019,0.0000
197,0.0065,0.0122,-0.0057,0.0000
198,0.0062,0.0190,-0.0128,0.0002
199,0.0091,0.0168,-0.0077,0.0001
200,0.0093,0.0395,-0.0302,0.0009
201,0.0164,0.0620,-0.0456,0.0021
202,0.0303,0.0904,-0.0601,0.0036
203,0.0778,0.1331,-0.0552,0.0031
204,0.1143,0.1703,-0.0560,0.0031
205,0.2312,0.2758,-0.0446,0.0020
206,0.2207,0.1916,0.0291,0.0008
207,0.1958,0.1368,0.0591,0.0035
208,0.1477,0.1032,0.0445,0.0020
209,0.1437,0.0913,0.0525,0.0028
210,0.1070,0.0830,0.0239,0.0006
211,0.1146,0.0844,0.0302,0.0009
212,0.0654,0.0557,0.0096,0.0001
213,0.0444,0.0304,0.0140,0.0002
214,0.0490,0.0506,-0.0017,0.0000
215,0.0475,0.0412,0.0063,0.0000
216,0.0543,0.0250,0.0293,0.0009
217,0.0566,0.0341,0.0225,0.0005
218,0.0690,0.0577,0.0113,0.0001
219,0.0490,0.0515,-0.0025,0.0000
220,0.0659,0.0677,-0.0017,0.0000
221,0.0781,0.0955,-0.0174,0.0003
222,0.0829,0.0716,0.0113,0.0001
223,0.0555,0.0571,-0.0017,0.0000
224,0.0507,0.0441,0.0066,0.0000
225,0.0311,0.0316,-0.0004,0.0000
226,0.0252,0.0233,0.0019,0.0000
227,0.0303,0.0250,0.0053,0.0000
228,0.0390,0.0256,0.0135,0.0002
229,0.0116,0.0128,-0.0012,0.0000
230,0.0006,0.0037,-0.0031,0.0000
231,0.0000,0.0009,-0.0009,0.0000
232,0.0000,0.0000,0.0000,0.0000
233,0.0000,0.0000,0.0000,0.0000
234,0.0000,0.0000,0.0000,0.0000
235,0.0000,0.0000,0.0000,0.0000
236,0.0000,0.0000,0.0000,0.0000
237,0.0000,0.0000,0.0000,0.0000
238,0.0000,0.0000,0.0000,0.0000
239,0.0000,0.0000,0.0000,0.0000
240,0.0000,0.0000,0.0000,0.0000
241,0.0000,0.0000,0.0000,0.0000
242,0.0000,0.0000,0.0000,0.0000
243,0.0000,0.0000,0.0000,0.0000
244,0.0000,0.0000,0.0000,0.0000
245,0.0000,0.0000,0.0000,0.0000
246,0.0000,0.0000,0.0000,0.0000
247,0.0000,0.0000,0.0000,0.0000
248,0.0000,0.0000,0.0000,0.0000
249,0.0000,0.0000,0.0000,0.0000
250,0.0000,0.0000,0.0000,0.0000
251,0.0000,0.0000,0.0000,0.0000
252,0.0000,0.0000,0.0000,0.0000
253,0.0000,0.0000,0.0000,0.0000
254,0.0000,0.0000,0.0000,0.0000
255,0.0000,0.0000,0.0000,0.0000
256,0.0000,0.0000,0.0000,0.0000
Total,,,,0.0386
√Total,,,,0.1965
